"","year","PRCP_FREQ"
"1",1951-01-01,25
"2",1952-01-01,22
"3",1954-01-01,24
"4",1955-01-01,28
"5",1958-01-01,23
"6",1959-01-01,25
"7",1960-01-01,23
"8",1961-01-01,27
"9",1962-01-01,29
"10",1964-01-01,21
"11",1966-01-01,30
"12",1967-01-01,24
"13",1968-01-01,30
"14",1969-01-01,24
"15",1970-01-01,29
"16",1972-01-01,31
"17",1973-01-01,21
"18",1974-01-01,25
"19",1975-01-01,26
"20",1976-01-01,30
"21",1978-01-01,23
"22",1979-01-01,33
"23",1980-01-01,27
"24",1981-01-01,22
"25",1982-01-01,31
"26",1983-01-01,30
"27",1984-01-01,21
"28",1985-01-01,28
"29",1986-01-01,33
"30",1987-01-01,29
"31",1988-01-01,29
"32",1989-01-01,31
"33",1990-01-01,25
